chain,scenario,time_h,parent_fraction,intermediate_fraction,daughter_fraction,daughter_fraction_per_natural_element_atom
Pd_to_Ag,solid_reference,0,1.0,0.0,0.0,0.0
Pd_to_Ag,solid_reference,6,0.999999815320017,1.5883373060768865e-07,2.5846252365313048e-08,6.838918375861832e-09
Pd_to_Ag,solid_reference,12,0.9999996306400682,2.7538693879030746e-07,9.397299296082678e-08,2.4865253937434768e-08
Pd_to_Ag,solid_reference,24,0.9999992612802728,4.23675021663455e-07,3.1504470550342605e-07,8.336082907620654e-08
Pd_to_Ag,solid_reference,48,0.9999985225610915,5.465202165846398e-07,9.309186919634835e-07,2.463210858935377e-07
Pd_to_Ag,solid_reference,72,0.9999977838424556,5.821391390861969e-07,1.6340184052795741e-06,4.323612700369753e-07
Pd_to_Ag,solid_reference,168,0.9999948289733698,5.96579944344472e-07,4.574446685879591e-06,1.2103985930837398e-06
Pd_to_Ag,solid_reference,336,0.9999896579734792,5.966796500580528e-07,9.745346870779547e-06,2.5786187820082682e-06
Pd_to_Ag,solid_reference,720,0.9999778386455664,5.96672615346422e-07,2.156468181821218e-05,5.706014809098943e-06
Pd_to_Ag,solid_reference,1440,0.9999556777822585,5.966593922731126e-07,4.3725558349259445e-05,1.1569782739214049e-05
Pd_to_Ag,solid_reference,2880,0.999911357528976,5.966329470056108e-07,8.804583807701962e-05,2.3296928755179394e-05
Pd_to_Ag,solid_reference,8760,0.9997304035476565,5.965249743274987e-07,0.00026899992736915154,7.117738078187749e-05
Pd_to_Ag,liquid_standard_same_source,0,1.0,0.0,0.0,0.0
Pd_to_Ag,liquid_standard_same_source,6,0.9999998226429436,1.525356590634346e-07,2.482139731112618e-08,6.567741728523987e-09
Pd_to_Ag,liquid_standard_same_source,12,0.9999996452859188,2.644673031512006e-07,9.024677806758705e-08,2.3879297476683534e-08
Pd_to_Ag,liquid_standard_same_source,24,0.9999992905719634,4.068754747437343e-07,3.0255256190557234e-07,8.005540788021444e-08
Pd_to_Ag,liquid_standard_same_source,48,0.99999858114443,5.248496282746358e-07,8.940059417598804e-07,2.3655397218966435e-07
Pd_to_Ag,liquid_standard_same_source,72,0.9999978717173998,5.590562058992574e-07,1.5692263942563714e-06,4.152173039202359e-07
Pd_to_Ag,liquid_standard_same_source,168,0.9999950340143124,5.729244714271017e-07,4.3930612161279175e-06,1.162403997787447e-06
Pd_to_Ag,liquid_standard_same_source,336,0.9999900680532859,5.73020341101927e-07,9.358926372957132e-06,2.476371918284457e-06
Pd_to_Ag,liquid_standard_same_source,720,0.9999787173778292,5.730138538807762e-07,2.070960831694544e-05,5.479762360663763e-06
Pd_to_Ag,liquid_standard_same_source,1440,0.9999574352086084,5.730016586434254e-07,4.199178973299817e-05,1.1111027563351316e-05
